Month,CDS Spread
1,0.08%
2,0.11%
3,0.14%
4,0.16%
5,0.16%
6,0.18%
7,0.22%
8,0.22%
9,0.24%
10,0.27%
11,0.29%
12,0.30%
13,0.33%
14,0.35%
15,0.36%
16,0.37%
17,0.38%
18,0.40%
19,0.40%
20,0.42%
21,0.45%
22,0.47%
23,0.49%
24,0.49%
25,0.49%
26,0.55%
27,0.57%
28,0.58%
29,0.59%
30,0.61%
31,0.61%
32,0.62%
33,0.63%
34,0.64%
35,0.65%
36,0.67%
37,0.68%
38,0.69%
39,0.71%
40,0.72%
41,0.73%
42,0.74%
43,0.75%
44,0.76%
45,0.78%
46,0.82%
47,0.82%
48,0.83%
49,0.83%
50,0.85%
51,0.85%
52,0.88%
53,0.88%
54,0.89%
55,0.91%
56,0.94%
57,0.95%
58,0.96%
59,1.02%
60,1.06%